,u-g,g-r,r-i,i-z,ecc,m4_u,m4_g,m4_r,m4_i,m4_z,petroR50_u,petroR50_r,petroR50_z,petroR90_u,petroR90_r,petroR90_z,class
244,1.3196900000000014,0.5747999999999998,0.3806100000000008,0.142199999999999,0.7707539,2.263845,2.343765,2.404599,2.417205,2.366027,4.218905,4.694519,3.822596,8.519114,10.1634,8.010146,spiral
245,1.2887099999999982,0.5952699999999993,0.3302200000000006,0.2063800000000011,0.7334936,2.052281,2.160146,2.31445,2.357404,2.40545,4.472136,3.883296,3.540539,8.321718,7.642004,7.264997,spiral
246,1.1895600000000002,0.5411999999999999,0.3024599999999999,0.1580500000000011,0.9063014,0.5349604,2.025718,2.130922,2.196322,2.283331,8.506415,8.89994,8.187591,14.54931,16.29082,15.11619,spiral
247,2.0321399999999983,1.0731500000000018,0.4660200000000003,0.3554700000000004,0.5722513,2.10282,2.468013,2.450496,2.458613,2.458825,10.77224,3.165609,2.361423,18.45059,9.938354,8.612621,merger
248,1.2942,0.7053499999999993,0.4019899999999996,0.247860000000001,0.617523,2.33916,2.276615,2.378201,2.455357,2.473541,6.581101,5.416684,4.992871,14.16147,11.24925,10.59493,spiral
249,0.0230099999999993,-3.84647,-0.630589999999998,1.52928,0.3070523,2.068515,2.167593,1.74361,-9999.0,-9999.0,2.018436,1.015548,4.519185,4.320153,2.280171,5.324216,merger
250,1.2511599999999987,0.5302900000000008,0.2556799999999999,0.22363,0.8811097,2.215234,2.307296,2.439134,2.491575,2.494142,11.2982,9.644547,9.165364,28.12346,20.93673,21.57007,spiral
251,1.4612599999999991,0.96368,0.466190000000001,0.2753399999999999,0.4608733,2.068793,2.178668,2.208056,2.232295,2.227966,1.718428,2.02212,1.920804,4.535272,5.509974,5.763788,merger
252,1.0987999999999971,0.4218299999999999,0.3759500000000031,0.1072599999999983,0.7387364,2.298123,2.336584,2.380581,2.383292,2.371497,2.563222,3.195299,2.768844,5.482848,6.747931,5.657825,spiral
253,1.429130000000001,0.6540099999999995,0.3451199999999979,0.2379800000000003,0.6141388,2.229346,2.566914,2.650685,2.643918,2.525013,3.643909,3.534761,3.265063,7.574259,7.163653,7.246442,merger
